SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
10,30,2,4,2,0,2180.27,3,nonwex2_7.png
10,31,2,3,4,0,555.01,1,nonwin2_10.png
10,32,2,2,2,1,763.77,1,nonwin5.png
10,33,2,1,2,0,959.38,1,nonwin2_1.png
10,34,2,2,2,1,485.53,1,nonwin8.png
10,35,2,4,1,0,523.52,1,nonwex4.png
10,36,2,1,4,0,324.43,1,nonwin2_8.png
10,37,1,2,2,1,1949.03,2,nonwex2_3.png
10,38,1,3,2,0,811.69,2,nonwex5.png
10,39,1,4,1,0,567.43,1,nonwex10.png
10,40,1,2,4,0,458.73,1,nonwex2_12.png
10,41,1,1,2,0,1798.15,2,nonwex2_1.png
10,42,1,3,4,0,661.01,1,nonwex8.png
10,43,2,1,2,0,597.72,1,nonwex6.png
10,44,1,4,1,0,507.86,1,nonwin2_6.png
10,45,2,3,1,0,260.24,1,nonwin12.png
10,46,2,4,1,0,519.68,1,nonwex12.png
10,47,2,4,2,0,267,1,nonwex11.png
10,48,1,4,2,0,470.24,1,nonwin9.png
11,1,2,2,2,1,2171.44,4,nonwin6.png
11,2,1,2,4,0,3445.33,2,nonwin10.png
11,3,1,1,1,1,3352.17,3,nonwin2_5.png
11,4,2,2,2,1,3346.54,4,nonwex2_3.png
11,5,2,2,3,0,2681.87,1,nonwex2_1.png
11,6,2,1,3,0,1939.61,1,nonwin11.png
11,7,2,2,1,0,2125.26,2,nonwex2_11.png
11,8,1,1,1,1,1681.61,4,nonwin2_4.png
11,9,1,2,2,1,2061.91,2,nonwin2_2.png
11,10,2,2,4,0,9082.64,2,nonwin4.png
11,11,2,4,2,0,3190.67,2,nonwex9.png
11,12,2,3,3,1,1411.92,1,nonwex8.png
11,13,1,4,3,0,4904.07,2,nonwex2_7.png
11,14,2,3,1,0,1954.65,2,nonwin2_11.png
