SID,RepTime,Trial,Resp,Corr,RT,ImgName
3,3,22,2,1,602,nonwin3.png
3,3,23,0,0,0,nonwin10.png
3,3,24,1,1,507.49,nonwin8.png
3,4,1,2,1,613.29,nonwin2_3.png
3,4,2,1,1,742.08,nonwex6.png
3,4,3,0,0,0,nonwex2_10.png
3,4,4,2,1,551.51,nonwin2_4.png
3,4,5,2,1,520.22,nonwin5.png
3,4,6,1,1,528.93,nonwex2_7.png
3,4,7,2,1,505.67,nonwin7.png
3,4,8,1,1,597.09,nonwex2_4.png
3,4,9,2,1,541.82,nonwex11.png
3,4,10,1,1,670.57,nonwin12.png
3,4,11,2,1,535.3,nonwin3.png
3,4,12,2,1,528.03,nonwin2_10.png
3,4,13,1,1,488.73,nonwex4.png
3,4,14,1,1,521.46,nonwin2_1.png
3,4,15,1,1,522.15,nonwex2_2.png
3,4,16,2,1,698.94,nonwex1.png
3,4,17,2,1,571.61,nonwin10.png
3,4,18,1,1,732.4,nonwex2_6.png
3,4,19,1,1,533.07,nonwin2_9.png
3,4,20,1,1,469.79,nonwin2_2.png
3,4,21,2,1,550.58,nonwin2_8.png
3,4,22,2,1,519.29,nonwin2_5.png
3,4,23,1,1,568.04,nonwin8.png
3,4,24,1,1,488.77,nonwex12.png
3,5,1,1,1,764.94,nonwin12.png
3,5,2,1,1,421.63,nonwex12.png
3,5,3,1,1,502.44,nonwin2_2.png
3,5,4,1,1,543.17,nonwex2_10.png
3,5,5,2,1,607.89,nonwin5.png
3,5,6,2,1,568.61,nonwin2_4.png
3,5,7,2,1,585.35,nonwin7.png
3,5,8,1,1,522.08,nonwin8.png
3,5,9,2,1,642.81,nonwex1.png
3,5,10,2,1,563.54,nonwin2_10.png
3,5,11,1,1,596.23,nonwex6.png
3,5,12,1,1,484.99,nonwex4.png
3,5,13,1,1,709.73,nonwex2_6.png
3,5,14,1,1,566.39,nonwin2_1.png
3,5,15,1,1,511.18,nonwex2_2.png
3,5,16,2,1,527.91,nonwex11.png
3,5,17,1,1,528.58,nonwex2_7.png
3,5,18,2,1,545.36,nonwin2_8.png
3,5,19,1,1,554.03,nonwex2_4.png
3,5,20,2,1,562.76,nonwin10.png
3,5,21,1,1,491.52,nonwin2_9.png
3,5,22,2,1,612.26,nonwin2_3.png
3,5,23,2,1,564.95,nonwin2_5.png
3,5,24,2,1,533.73,nonwin3.png
3,6,1,1,1,455.26,nonwin2_1.png
3,6,2,1,1,479.93,nonwin8.png
3,6,3,2,1,568.74,nonwin2_10.png
3,6,4,1,1,761.5,nonwex2_7.png
3,6,5,1,1,658.23,nonwex6.png
3,6,6,2,1,546.92,nonwin5.png
3,6,7,1,1,443.67,nonwex2_4.png
3,6,8,1,1,500.4,nonwin2_2.png
3,6,9,1,1,501.14,nonwex12.png
3,6,10,2,1,445.87,nonwin10.png
3,6,11,2,1,518.55,nonwin2_4.png
3,6,12,2,1,519.32,nonwex1.png
3,6,13,1,1,728.06,nonwin12.png
3,6,14,0,0,0,nonwex2_2.png
3,6,15,1,1,609.51,nonwex2_10.png
3,6,16,1,1,506.19,nonwex2_6.png
3,6,17,1,1,474.96,nonwin2_9.png
3,6,18,2,1,675.64,nonwex11.png
3,6,19,1,1,476.42,nonwex4.png
3,6,20,2,1,557.15,nonwin2_5.png
3,6,21,2,1,453.86,nonwin2_8.png
3,6,22,2,1,462.56,nonwin2_3.png
3,6,23,2,1,503.31,nonwin7.png
3,6,24,0,0,0,nonwin3.png
3,7,1,1,1,505.73,nonwex2_10.png
3,7,2,2,1,666.43,nonwin3.png
3,7,3,1,1,491.2,nonwin8.png
3,7,4,1,1,507.93,nonwin2_2.png
3,7,5,1,1,428.65,nonwex2_7.png
3,7,6,2,1,461.38,nonwin2_8.png
3,7,7,2,1,478.1,nonwin7.png
3,7,8,2,1,478.82,nonwex1.png
3,7,9,2,1,543.52,nonwin2_3.png
3,7,10,2,1,520.28,nonwex11.png
3,7,11,2,1,697.03,nonwin2_4.png
3,7,12,1,1,521.74,nonwex2_4.png
3,7,13,1,1,458.44,nonwin2_1.png
3,7,14,1,1,467.21,nonwex2_2.png
3,7,15,1,1,451.92,nonwex4.png
3,7,16,2,1,500.64,nonwin2_10.png
3,7,17,2,1,509.4,nonwin10.png
3,7,18,2,1,478.12,nonwin5.png
3,7,19,1,1,446.79,nonwin2_9.png
3,7,20,1,1,543.58,nonwex2_6.png
3,7,21,1,1,552.25,nonwex6.png
3,7,22,2,1,553.04,nonwin2_5.png
3,7,23,1,1,569.76,nonwin12.png
3,7,24,1,1,546.45,nonwex12.png
3,8,1,2,1,556.12,nonwin7.png
3,8,2,2,1,508.84,nonwin2_4.png
3,8,3,1,1,565.52,nonwin2_9.png
3,8,4,2,1,454.3,nonwex1.png
3,8,5,2,1,407.03,nonwin3.png
3,8,6,1,1,511.71,nonwex2_10.png
3,8,7,0,0,0,nonwin12.png
3,8,8,2,1,465.21,nonwin2_3.png
3,8,9,2,1,449.9,nonwin2_8.png
3,8,10,1,1,530.67,nonwin2_2.png
3,8,11,2,1,483.4,nonwin5.png
3,8,12,1,1,532.13,nonwex2_4.png
3,8,13,2,1,708.84,nonwin2_10.png
3,8,14,0,0,0,nonwex4.png
3,8,15,1,1,638.25,nonwex6.png
3,8,16,2,1,551,nonwin10.png
3,8,17,1,1,943.78,nonwex2_6.png
3,8,18,1,1,440.49,nonwex2_7.png
3,8,19,1,1,505.2,nonwin2_1.png
3,8,20,1,1,481.95,nonwex12.png
3,8,21,2,1,482.63,nonwin2_5.png
3,8,22,1,1,451.41,nonwin8.png
3,8,23,1,1,460.14,nonwex2_2.png
3,8,24,2,1,484.84,nonwex11.png
4,1,1,2,1,1065.8,nonwex1.png
4,1,2,2,1,781.29,nonwex2_4.png
4,1,3,2,1,649.59,nonwin2_6.png
4,1,4,2,1,797.76,nonwin4.png
4,1,5,1,1,858.05,nonwex2_1.png
4,1,6,2,1,1078.23,nonwin2_9.png
4,1,7,2,1,690.45,nonwex5.png
4,1,8,1,1,694.69,nonwin3.png
4,1,9,2,1,538.89,nonwin11.png
4,1,10,1,1,479.2,nonwin2_3.png
4,1,11,2,1,875.38,nonwex2_12.png
4,1,12,1,1,743.62,nonwex9.png
4,1,13,2,1,875.89,nonwin2_10.png
4,1,14,1,1,520.12,nonwex2_2.png
4,1,15,1,1,564.35,nonwex12.png
4,1,16,1,1,632.54,nonwex2_10.png
4,1,17,1,1,572.81,nonwin5.png
4,1,18,2,1,721.03,nonwin2_12.png
4,1,19,1,1,829.23,nonwex2_3.png
4,1,20,1,1,737.5,nonwin10.png
4,1,21,1,1,845.66,nonwin2_5.png
4,1,22,1,1,745.95,nonwex10.png
4,1,23,2,1,702.14,nonwin9.png
4,1,24,1,1,746.36,nonwex7.png
4,2,1,2,1,1097.55,nonwin11.png
4,2,2,1,1,605.74,nonwin2_5.png
4,2,3,2,1,785.95,nonwex2_4.png
4,2,4,2,1,670.17,nonwin2_6.png
